TrainCode,TrainDate,TrainOrigin,TrainDestination,scheduled_hour,scheduled_minute,day_of_week,arrival_delay_minutes
A910,16 Apr 2025,Dublin Connolly,Sligo,0,0,2,954.0
P745,16 Apr 2025,Maynooth,Dublin Connolly,9,24,2,5.7
A909,16 Apr 2025,Sligo,Dublin Connolly,16,27,2,-0.3
D914,16 Apr 2025,Dublin Connolly,Maynooth,0,0,2,713.9
A908,16 Apr 2025,Dublin Connolly,Sligo,0,0,2,853.9
A911,16 Apr 2025,Sligo,Dublin Connolly,18,18,2,6.9
A906,16 Apr 2025,Dublin Connolly,Sligo,0,0,2,733.5
P744,16 Apr 2025,Maynooth,Dublin Connolly,8,33,2,0.3
D913,16 Apr 2025,Dublin Connolly,Maynooth,0,0,2,686.6
P746,15 Apr 2025,Maynooth,Dublin Connolly,10,53,1,3.2
A606,15 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,1,804.6
E259,15 Apr 2025,Malahide,Bray,21,29,1,2.0
E260,15 Apr 2025,Malahide,Bray,21,59,1,-1.3
A910,15 Apr 2025,Dublin Connolly,Sligo,0,0,1,884.2
P745,15 Apr 2025,Maynooth,Dublin Connolly,9,24,1,1.0
A909,15 Apr 2025,Sligo,Dublin Connolly,16,27,1,0.2
D914,15 Apr 2025,Dublin Connolly,Maynooth,0,0,1,713.9
A908,15 Apr 2025,Dublin Connolly,Sligo,0,0,1,896.6
A911,15 Apr 2025,Sligo,Dublin Connolly,18,18,1,3.4
A906,15 Apr 2025,Dublin Connolly,Sligo,0,0,1,759.4
P744,15 Apr 2025,Maynooth,Dublin Connolly,8,33,1,-2.5
D913,15 Apr 2025,Dublin Connolly,Maynooth,0,0,1,687.1
P746,14 Apr 2025,Maynooth,Dublin Connolly,10,53,0,4.9
A606,14 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,0,810.4
E259,14 Apr 2025,Malahide,Bray,21,29,0,3.0
E260,14 Apr 2025,Malahide,Bray,21,59,0,-0.4
A910,14 Apr 2025,Dublin Connolly,Sligo,0,0,0,952.8
P745,14 Apr 2025,Maynooth,Dublin Connolly,9,24,0,7.1
A909,14 Apr 2025,Sligo,Dublin Connolly,16,27,0,1.2
D914,14 Apr 2025,Dublin Connolly,Maynooth,0,0,0,713.8
A908,14 Apr 2025,Dublin Connolly,Sligo,0,0,0,858.1
A911,14 Apr 2025,Sligo,Dublin Connolly,18,18,0,21.8
A906,14 Apr 2025,Dublin Connolly,Sligo,0,0,0,740.9
P744,14 Apr 2025,Maynooth,Dublin Connolly,8,33,0,1.1
D913,14 Apr 2025,Dublin Connolly,Maynooth,0,0,0,686.9
P746,13 Apr 2025,Maynooth,Dublin Connolly,16,54,6,-2.4
A606,13 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,6,812.1
A910,13 Apr 2025,Dublin Connolly,Sligo,0,0,6,951.6
P745,13 Apr 2025,Maynooth,Dublin Connolly,16,27,6,2.7
A909,13 Apr 2025,Sligo,Dublin Connolly,16,13,6,2.0
D914,13 Apr 2025,Dublin Connolly,Maynooth,0,0,6,922.7
A908,13 Apr 2025,Dublin Connolly,Sligo,0,0,6,842.9
A911,13 Apr 2025,Sligo,Dublin Connolly,18,20,6,-2.0
A906,13 Apr 2025,Dublin Connolly,Sligo,0,0,6,733.8
P744,13 Apr 2025,Maynooth,Dublin Connolly,15,54,6,-0.6
D913,13 Apr 2025,Dublin Connolly,Maynooth,0,0,6,891.6
P746,12 Apr 2025,Maynooth,Dublin Connolly,10,22,5,-0.8
A606,12 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,5,833.9
A910,12 Apr 2025,Dublin Connolly,Sligo,0,0,5,958.6
P745,12 Apr 2025,Maynooth,Dublin Connolly,9,55,5,-1.5
A909,12 Apr 2025,Sligo,Dublin Connolly,16,11,5,4.4
D914,12 Apr 2025,Dublin Connolly,Maynooth,0,0,5,751.4
A908,12 Apr 2025,Dublin Connolly,Sligo,0,0,5,851.7
